Accession	Organism_Name	GenBank_RefSeq	Assembly	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Length	Nuc_Completeness	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date
ON768505.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/528	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-08-15
ON768506.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/529	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-08-16
ON768507.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/531	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-08-22
ON768508.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/539	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-09-05
ON768509.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/540	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-09-05
ON768510.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/542	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-09-09
ON768511.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/543	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-09-13
ON768512.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/549	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-04
ON768513.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/550	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-04
ON768514.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/551	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-04
ON768515.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/554	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-12
ON768516.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/557	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-14
ON768517.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/559	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-18
ON768518.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/561	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-19
ON768519.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/564	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-21
ON768520.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/565	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-21
ON768521.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/566	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-21
ON768522.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/567	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-24
ON768523.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/568	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-24
ON768524.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/570	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-26
ON768525.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/571	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-26
ON768526.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/572	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-10-27
ON768527.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/574	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-01
ON768528.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/575	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-01
ON768529.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/576	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-01
ON768530.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/577	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-02
ON768531.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/579	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-04
ON768532.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/581	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-09
ON768533.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/582	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-09
ON768534.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/585	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-21
ON768535.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/586	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-22
ON768536.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/588	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-23
ON768537.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/591	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-25
ON768538.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/592	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-28
ON768539.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/593	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-28
ON768540.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/594	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-29
ON768541.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/595	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-30
ON768542.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/596	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-11-30
ON768543.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/597	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-05
ON768544.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/601	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-06
ON768545.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/602	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-07
ON768546.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/604	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-09
ON768547.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/606	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-12
ON768548.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/607	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-13
ON768549.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/608	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-13
ON768550.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/611	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-21
ON768551.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/612	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-22
ON768552.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2016/613	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2016-12-27
ON768553.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/619	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-01-12
ON768554.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/621	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-01-17
ON768555.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/622	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-01-18
ON768556.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/623	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-01-20
ON768557.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/624	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-01-23
ON768558.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/627	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-01-30
ON768559.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/628	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-03
ON768560.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/629	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-03
ON768561.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/630	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-06
ON768562.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/634	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-07
ON768563.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/635	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-08
ON768564.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/636	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-08
ON768565.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/641	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-16
ON768566.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/642	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-16
ON768567.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/645	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-24
ON768568.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/647	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-02-28
ON768569.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/648	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-02
ON768570.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/649	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-06
ON768571.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/652	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-06
ON768572.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/657	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-13
ON768573.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/660	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-16
ON768574.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/661	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-17
ON768575.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/663	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-24
ON768576.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/665	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-27
ON768577.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/667	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-03-28
ON768578.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/673	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-04-06
ON768579.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/676	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-04-10
ON768580.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/677	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-04-10
ON768581.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/683	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-04-18
ON768582.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/688	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-02
ON768583.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/691	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-08
ON768584.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/692	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-11
ON768585.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/702	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-22
ON768586.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/703	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-22
ON768587.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/704	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-22
ON768588.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/706	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-22
ON768589.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/708	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-23
ON768590.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/709	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-23
ON768591.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/710	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-26
ON768592.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/711	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-30
ON768593.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/712	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-05-31
ON768594.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/714	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-06-19
ON768595.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/718	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-07-03
ON768596.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/719	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-07-04
ON768597.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/720	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-07-05
ON768598.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/727	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-07-19
ON768599.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/729	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-07-26
ON768600.1	Rhinovirus C	GenBank		Neugebauer,F., Bergs,S., Liebert,U.G., Honemann,M.	Institut fur medizinische Mikrobiologie und Virologie, Virologie	Germany	2022-10-30	RV/Leipzig/2017/730	Rhinovirus C	393	partial	Germany	Germany		Homo sapiens		2017-08-01
