"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Rhinovirus","GO:0030595","leukocyte chemotaxis","17/327","240/18986",0.0708333333333333,4.11266564729867,6.4241959886082,9.73526280703498e-07,1.84872151496408e-05,1.36463615121093e-05,"CCL8/CXCL10/CCL19/CCR1/SLAMF1/IL6/CXCL11/CCL1/PDE4B/STAP1/CCR7/CCL4/TNFAIP6/NOD2/CXCR4/CCL2/FFAR2",17
"Rhinovirus","GO:0002710","negative regulation of T cell mediated immunity","7/327","32/18986",0.21875,12.700879204893,8.76956480201639,9.80184383919221e-07,1.85205839341537e-05,1.36709927230839e-05,"IFNB1/CD80/CD274/SLAMF1/LILRB4/LILRB1/NOD2",7
"Rhinovirus","GO:0002752","cell surface pattern recognition receptor signaling pathway","10/327","79/18986",0.126582278481013,7.34951418727984,7.486480990562,1.0073521964893e-06,1.89392236344929e-05,1.39800121534257e-05,"IFI35/ACOD1/OAS1/NMI/TNFAIP3/APPL2/MYD88/NOD2/FFAR2/NFKBIA",10
"Rhinovirus","GO:0033209","tumor necrosis factor-mediated signaling pathway","12/327","119/18986",0.100840336134454,5.85490710045486,7.03295720396282,1.01788933990743e-06,1.904259314609e-05,1.40563144906446e-05,"STAT1/TNF/AIM2/TNFSF13B/JAK2/HSPA1B/TRAF1/HSPA1A/BIRC3/TNFAIP3/NFKBIA/CASP1",12
"Rhinovirus","GO:0097048","dendritic cell apoptotic process","5/327","12/18986",0.416666666666667,24.1921508664628,10.6386665542025,1.05425803990276e-06,1.95296133960419e-05,1.44158091111575e-05,"RAPGEF2/CCL19/AXL/CCR7/LILRB1",5
"Rhinovirus","GO:2000668","regulation of dendritic cell apoptotic process","5/327","12/18986",0.416666666666667,24.1921508664628,10.6386665542025,1.05425803990276e-06,1.95296133960419e-05,1.44158091111575e-05,"RAPGEF2/CCL19/AXL/CCR7/LILRB1",5
"Rhinovirus","GO:0039535","regulation of RIG-I signaling pathway","6/327","21/18986",0.285714285714286,16.5889034512888,9.46201834776771,1.08781835788977e-06,2.00530028022704e-05,1.48021496709005e-05,"OASL/ZC3HAV1/DDX60/RNF125/DHX58/BIRC3",6
"Rhinovirus","GO:0002534","cytokine production involved in inflammatory response","10/327","80/18986",0.125,7.25764525993884,7.4249084170995,1.13388599439258e-06,2.06240995047672e-05,1.52237054324126e-05,"GBP5/TNF/ZC3H12A/IL6/MEFV/LILRB4/APPL2/MYD88/TLR3/NOD2",10
"Rhinovirus","GO:1900015","regulation of cytokine production involved in inflammatory response","10/327","80/18986",0.125,7.25764525993884,7.4249084170995,1.13388599439258e-06,2.06240995047672e-05,1.52237054324126e-05,"GBP5/TNF/ZC3H12A/IL6/MEFV/LILRB4/APPL2/MYD88/TLR3/NOD2",10
"Rhinovirus","GO:0030099","myeloid cell differentiation","24/327","451/18986",0.0532150776053215,3.08972924591631,5.94589165382088,1.13517139375273e-06,2.06240995047672e-05,1.52237054324126e-05,"ISG15/IRF7/PML/STAT1/TNF/IFI16/JAK2/HSPA1B/SOCS1/IL15/HSPA1A/CCL19/CCR1/BATF2/BPGM/LILRB4/CCR7/LILRB1/CASP10/MYD88/TNFAIP6/TLR3/NFKBIA/SCIN",24
"Rhinovirus","GO:0032480","negative regulation of type I interferon production","8/327","47/18986",0.170212765957447,9.88275099225714,8.07147469392657,1.24563254405197e-06,2.25227051864708e-05,1.66251636451157e-05,"XAF1/ACOD1/SIGLEC1/RNF125/NMI/DHX58/LILRB1/GBP7",8
"Rhinovirus","GO:0002274","myeloid leukocyte activation","17/327","247/18986",0.0688259109311741,3.99611236984487,6.27434454250624,1.44785616026338e-06,2.60545163315967e-05,1.92321745598895e-05,"IFI35/TNF/ZC3H12A/NMI/PLSCR1/JAK2/TMEM106A/IL15/TREX1/SLAMF1/IL6/BATF2/MCUB/LILRB4/STAP1/MYD88/TLR3",17
"Rhinovirus","GO:0031295","T cell costimulation","8/327","48/18986",0.166666666666667,9.67686034658512,7.96803374852704,1.47255795872124e-06,2.63734432512208e-05,1.94675908735909e-05,"TNFSF13B/CD80/CD274/CCL19/PDCD1LG2/LILRB4/CCR7/LILRB2",8
"Rhinovirus","GO:0002695","negative regulation of leukocyte activation","15/327","196/18986",0.076530612244898,4.44345628159521,6.41496385752761,1.629266254875e-06,2.90337244454621e-05,2.14312808402319e-05,"ZC3H12A/IRF1/IFNB1/CD80/SOCS1/CD274/PDCD1LG2/IDO1/AXL/TNFAIP3/LILRB4/LILRB1/LILRB2/JAK3/IL2RA",15
"Rhinovirus","GO:0032757","positive regulation of interleukin-8 production","9/327","65/18986",0.138461538461538,8.03923782639379,7.52567169825297,1.63646025585695e-06,2.90337244454621e-05,2.14312808402319e-05,"RIGI/TNF/HSPA1B/HSPA1A/IL6/MYD88/TLR3/NOD2/FFAR2",9
"Rhinovirus","GO:0045619","regulation of lymphocyte differentiation","16/327","223/18986",0.0717488789237668,4.16582328821601,6.29539458927541,1.7193316979613e-06,3.0332628036792e-05,2.23900681877686e-05,"IL15RA/ZC3H12A/IRF1/IFNB1/CD80/SOCS1/IL15/CCL19/NFKBIZ/AXL/LILRB4/LILRB2/ADA/JAK3/IL27/IL2RA",16
"Rhinovirus","GO:0031294","lymphocyte costimulation","8/327","49/18986",0.163265306122449,9.47937340073644,7.86758068714535,1.73375169514344e-06,3.0332628036792e-05,2.23900681877686e-05,"TNFSF13B/CD80/CD274/CCL19/PDCD1LG2/LILRB4/CCR7/LILRB2",8
"Rhinovirus","GO:0043330","response to exogenous dsRNA","8/327","49/18986",0.163265306122449,9.47937340073644,7.86758068714535,1.73375169514344e-06,3.0332628036792e-05,2.23900681877686e-05,"IFIT1/RIGI/IFIH1/IFNB1/CGAS/TLR3/NOD2/NFKBIA",8
"Rhinovirus","GO:0042102","positive regulation of T cell proliferation","11/327","104/18986",0.105769230769231,6.14108445071748,6.95956997231529,1.79344560694265e-06,3.12324006849597e-05,2.30542365190299e-05,"TNFSF13B/JAK2/CD80/CD274/IL15/CCL19/SLAMF1/PDCD1LG2/IL6/LILRB2/IL2RA",11
"Rhinovirus","GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","9/327","66/18986",0.136363636363636,7.91743119266055,7.45231569824226,1.86646062594555e-06,3.22227172477875e-05,2.3785239956724e-05,"IFI35/EIF2AK2/TNF/NMI/TRIM56/CCL19/TLR3/NOD2/RBCK1",9
"Rhinovirus","GO:0061081","positive regulation of myeloid leukocyte cytokine production involved in immune response","7/327","35/18986",0.2,11.6122324159021,8.31878124239946,1.87331096798736e-06,3.22227172477875e-05,2.3785239956724e-05,"RIGI/PANX1/P2RX7/LILRB1/MYD88/TLR3/NOD2",7
"Rhinovirus","GO:0002688","regulation of leukocyte chemotaxis","12/327","126/18986",0.0952380952380952,5.52963448376292,6.75324617632787,1.87589250979446e-06,3.22227172477875e-05,2.3785239956724e-05,"CXCL10/CCL19/CCR1/SLAMF1/IL6/CCL1/STAP1/CCR7/CCL4/TNFAIP6/NOD2/CCL2",12
"Rhinovirus","GO:0061082","myeloid leukocyte cytokine production","8/327","50/18986",0.16,9.28978593272171,7.76996728669637,2.03334451073337e-06,3.47692710681512e-05,2.56649819168537e-05,"RIGI/PANX1/P2RX7/AXL/LILRB1/MYD88/TLR3/NOD2",8
"Rhinovirus","GO:0002687","positive regulation of leukocyte migration","13/327","152/18986",0.0855263157894737,4.96575728311605,6.49847774748709,2.36816795319981e-06,4.01483259492618e-05,2.96355381583944e-05,"CCL8/CXCL10/FUT4/TNF/CCL20/CCL19/CCR1/SLAMF1/IL6/CCL1/CCR7/CCL4/CD47",13
"Rhinovirus","GO:0046596","regulation of viral entry into host cell","8/327","51/18986",0.156862745098039,9.10763326737423,7.67505548976332,2.3758396380065e-06,4.01483259492618e-05,2.96355381583944e-05,"IFITM1/TRIM5/TRIM25/TRIM22/TRIM21/TRIM6/LY6E/IFITM2",8
"Rhinovirus","GO:0002532","production of molecular mediator involved in inflammatory response","11/327","107/18986",0.102803738317757,5.96890451284689,6.82335616815781,2.3797896302288e-06,4.01483259492618e-05,2.96355381583944e-05,"GBP5/TNF/ZC3H12A/NCF1/IL6/MEFV/LILRB4/APPL2/MYD88/TLR3/NOD2",11
"Rhinovirus","GO:0071621","granulocyte chemotaxis","12/327","129/18986",0.0930232558139535,5.40103833297774,6.63970372160213,2.40702104470973e-06,4.04272556798136e-05,2.98414304958165e-05,"CCL8/CXCL10/CCL19/SLAMF1/CXCL11/CCL1/PDE4B/CCR7/CCL4/TNFAIP6/NOD2/CCL2",12
"Rhinovirus","GO:0006935","chemotaxis","24/327","472/18986",0.0508474576271186,2.95226247861919,5.68583263386013,2.50981680659898e-06,4.1967246513883e-05,3.09781766999875e-05,"CCL8/CXCL10/SEMA4D/CCL20/CCL19/CCR1/ENPP2/TYMP/SLAMF1/IL6/BMPR2/CXCL11/CCL1/PDE4B/STAP1/CCR7/CCL4/TNFAIP6/NOD2/CCR4/CXCR4/CCL2/FLRT2/FFAR2",24
"Rhinovirus","GO:1903038","negative regulation of leukocyte cell-cell adhesion","13/327","153/18986",0.0849673202614379,4.93330135316104,6.46663246778269,2.54853686762406e-06,4.24269639768782e-05,3.13175177333817e-05,"ZC3H12A/IRF1/IFNB1/CD80/SOCS1/CD274/PDCD1LG2/IDO1/LILRB4/LILRB1/LILRB2/JAK3/IL2RA",13
"Rhinovirus","GO:0042330","taxis","24/327","474/18986",0.0506329113924051,2.93980567491193,5.6618155945564,2.69957261233066e-06,4.47442320263051e-05,3.30280121083853e-05,"CCL8/CXCL10/SEMA4D/CCL20/CCL19/CCR1/ENPP2/TYMP/SLAMF1/IL6/BMPR2/CXCL11/CCL1/PDE4B/STAP1/CCR7/CCL4/TNFAIP6/NOD2/CCR4/CXCR4/CCL2/FLRT2/FFAR2",24
"Rhinovirus","GO:0022408","negative regulation of cell-cell adhesion","15/327","207/18986",0.072463768115942,4.20733058547179,6.14225245034505,3.21217998269529e-06,5.30079832078843e-05,3.91279106143071e-05,"ZC3H12A/IRF1/IFNB1/JAK2/CD80/SOCS1/CD274/PDCD1LG2/IDO1/IL1RN/LILRB4/LILRB1/LILRB2/JAK3/IL2RA",15
"Rhinovirus","GO:0046632","alpha-beta T cell differentiation","12/327","133/18986",0.0902255639097744,5.23860108988066,6.49371354612282,3.31954197068618e-06,5.40846950376246e-05,3.99226868287921e-05,"RSAD2/ZC3H12A/IRF1/CD80/SOCS1/CCL19/IL6/NFKBIZ/LILRB4/ADA/JAK3/IL27",12
"Rhinovirus","GO:0032693","negative regulation of interleukin-10 production","6/327","25/18986",0.24,13.9346788990826,8.56702495276357,3.3497216099771e-06,5.40846950376246e-05,3.99226868287921e-05,"CD274/PDCD1LG2/IDO1/LILRB4/LILRB1/JAK3",6
"Rhinovirus","GO:0032727","positive regulation of interferon-alpha production","6/327","25/18986",0.24,13.9346788990826,8.56702495276357,3.3497216099771e-06,5.40846950376246e-05,3.99226868287921e-05,"RIGI/IFIH1/IRF7/ZC3HAV1/STAT1/TLR3",6
"Rhinovirus","GO:0060907","positive regulation of macrophage cytokine production","6/327","25/18986",0.24,13.9346788990826,8.56702495276357,3.3497216099771e-06,5.40846950376246e-05,3.99226868287921e-05,"PANX1/P2RX7/LILRB1/MYD88/TLR3/NOD2",6
"Rhinovirus","GO:0010934","macrophage cytokine production","7/327","38/18986",0.184210526315789,10.695477225173,7.91980147917973,3.36329805076522e-06,5.40846950376246e-05,3.99226868287921e-05,"PANX1/P2RX7/AXL/LILRB1/MYD88/TLR3/NOD2",7
"Rhinovirus","GO:0010935","regulation of macrophage cytokine production","7/327","38/18986",0.184210526315789,10.695477225173,7.91980147917973,3.36329805076522e-06,5.40846950376246e-05,3.99226868287921e-05,"PANX1/P2RX7/AXL/LILRB1/MYD88/TLR3/NOD2",7
"Rhinovirus","GO:0038061","non-canonical NF-kappaB signal transduction","12/327","134/18986",0.0895522388059701,5.19950705189648,6.45813312661984,3.59056460425611e-06,5.74946764384908e-05,4.24397689619923e-05,"IFI35/EIF2AK2/TNF/ZC3H12A/NMI/TRIM56/CCL19/BIRC3/TLR3/NOD2/RBCK1/NFKBIA",12
"Rhinovirus","GO:0042116","macrophage activation","11/327","112/18986",0.0982142857142857,5.70243556138051,6.60746518839208,3.73424890209009e-06,5.95431502151833e-05,4.39518525007272e-05,"IFI35/TNF/ZC3H12A/NMI/JAK2/TMEM106A/TREX1/IL6/MCUB/STAP1/TLR3",11
"Rhinovirus","GO:0140895","cell surface toll-like receptor signaling pathway","9/327","72/18986",0.125,7.25764525993884,7.04239678110832,3.92040771958633e-06,6.22488267744401e-05,4.59490511141255e-05,"IFI35/ACOD1/OAS1/NMI/TNFAIP3/APPL2/MYD88/NOD2/NFKBIA",9
"Rhinovirus","GO:0001776","leukocyte homeostasis","11/327","113/18986",0.0973451327433628,5.65197152986387,6.56584754844668,4.0742748408705e-06,6.44212745759398e-05,4.75526462378631e-05,"AIM2/TNFSF13B/IL6/P2RX7/AXL/TNFAIP3/PDE4B/ADA/JAK3/IL2RA/BAK1",11
"Rhinovirus","GO:0006909","phagocytosis","16/327","239/18986",0.0669456066945607,3.88693972080406,5.94573804647255,4.22248117339177e-06,6.64864848093645e-05,4.90770838135447e-05,"IL15RA/RAB39A/PLSCR1/RUBCN/IL15/MYO1G/TREX1/SLAMF1/P2RX7/AXL/APPL2/STAP1/MYD88/NOD2/CCL2/CD47",16
"Rhinovirus","GO:0060326","cell chemotaxis","19/327","328/18986",0.0579268292682927,3.36329902289849,5.71555025368012,4.53657002549201e-06,7.11356768727564e-05,5.25088908825238e-05,"CCL8/CXCL10/CCL20/CCL19/CCR1/SLAMF1/IL6/CXCL11/CCL1/PDE4B/STAP1/CCR7/CCL4/TNFAIP6/NOD2/CCR4/CXCR4/CCL2/FFAR2",19
"Rhinovirus","GO:0050920","regulation of chemotaxis","15/327","216/18986",0.0694444444444444,4.03202514441047,5.93283858374925,5.4104677101843e-06,8.44882540363078e-05,6.23651127968178e-05,"CXCL10/CCL19/CCR1/SLAMF1/IL6/BMPR2/CCL1/STAP1/CCR7/CCL4/TNFAIP6/NOD2/CCR4/CXCR4/CCL2",15
"Rhinovirus","GO:0060333","type II interferon-mediated signaling pathway","6/327","27/18986",0.222222222222222,12.9024804621135,8.1930695352304,5.43850987236295e-06,8.45766617599161e-05,6.2430371071093e-05,"PARP9/STAT1/PARP14/IRF1/NLRC5/JAK2",6
"Rhinovirus","GO:0002371","dendritic cell cytokine production","5/327","16/18986",0.3125,18.1441131498471,9.08189224888314,5.49349814833487e-06,8.47344061328876e-05,6.25468102817933e-05,"RIGI/BST2/JAK3/TLR3/NOD2",5
"Rhinovirus","GO:0002730","regulation of dendritic cell cytokine production","5/327","16/18986",0.3125,18.1441131498471,9.08189224888314,5.49349814833487e-06,8.47344061328876e-05,6.25468102817933e-05,"RIGI/BST2/JAK3/TLR3/NOD2",5
"Rhinovirus","GO:0045580","regulation of T cell differentiation","14/327","191/18986",0.0732984293193717,4.2557919848856,5.9866954134802,5.99014783168964e-06,9.20193847803055e-05,6.79242265895488e-05,"ZC3H12A/IRF1/IFNB1/CD80/SOCS1/IL15/CCL19/NFKBIZ/LILRB4/LILRB2/ADA/JAK3/IL27/IL2RA",14
"Rhinovirus","GO:0050866","negative regulation of cell activation","15/327","219/18986",0.0684931506849315,3.97679192325416,5.86554139120576,6.39700422745056e-06,9.78715747997396e-05,7.22440281386916e-05,"ZC3H12A/IRF1/IFNB1/CD80/SOCS1/CD274/PDCD1LG2/IDO1/AXL/TNFAIP3/LILRB4/LILRB1/LILRB2/JAK3/IL2RA",15
"Rhinovirus","GO:0052372","modulation by symbiont of entry into host","8/327","58/18986",0.137931034482759,8.00843614889803,7.07648758154299,6.4413526954571e-06,9.81527090166629e-05,7.24515477205489e-05,"IFITM1/TRIM5/TRIM25/TRIM22/TRIM21/TRIM6/LY6E/IFITM2",8
"Rhinovirus","GO:0045785","positive regulation of cell adhesion","24/327","499/18986",0.0480961923847695,2.79252082145943,5.37175573224,6.47169223422875e-06,9.82189757154637e-05,7.25004625690391e-05,"FUT4/TNF/TNFSF13B/JAK2/CD80/SOCS1/CD274/IL15/CCL19/SLAMF1/PDCD1LG2/IL6/NFKBIZ/MYO10/LILRB4/CCR7/JUP/LILRB1/LILRB2/ADA/IL2RA/NOD2/CCL2/CD47",24
"Rhinovirus","GO:0032740","positive regulation of interleukin-17 production","6/327","28/18986",0.214285714285714,12.4416775884666,8.02061105773293,6.82196731875542e-06,0.000103120857990307,7.61187932408499e-05,"JAK2/IL15/IL6/CCL1/MYD88/NOD2",6
"Rhinovirus","GO:0006959","humoral immune response","18/327","310/18986",0.0580645161290323,3.37129328203611,5.5726168004631,7.83973129210996e-06,0.000118033245230612,8.71263909586555e-05,"ACOD1/CCL8/CXCL10/TNF/IFNB1/ADM/CFB/CCL20/CCL19/IL6/CXCL11/CCL1/PSMB10/CCR7/CCL4/CR1L/NOD2/CCL2",18
"Rhinovirus","GO:0070664","negative regulation of leukocyte proliferation","10/327","99/18986",0.101010101010101,5.86476384641522,6.42440430899156,8.03928520584802e-06,0.0001205573761623,8.89895814348256e-05,"CCL8/CD80/CD274/PDCD1LG2/IDO1/TNFAIP3/LILRB4/LILRB1/LILRB2/IL2RA",10
"Rhinovirus","GO:0002220","innate immune response activating cell surface receptor signaling pathway","10/327","100/18986",0.1,5.80611620795107,6.37909793238913,8.79802821930698e-06,0.000131414026248068,9.70034315837882e-05,"IFI35/ACOD1/OAS1/NMI/TNFAIP3/APPL2/MYD88/NOD2/FFAR2/NFKBIA",10
"Rhinovirus","GO:0042113","B cell activation","17/327","284/18986",0.0598591549295775,3.47549209630874,5.564314676207,9.43033072304082e-06,0.000139766120844185,0.000103168540894163,"BST2/IFNB1/TNFSF13B/CD38/PAX5/KLF6/IL6/NBN/NFKBIZ/CD40/TNFAIP3/ADA/JAK3/IRS2/NOD2/PRLR/BAK1",17
"Rhinovirus","GO:0070231","T cell apoptotic process","8/327","61/18986",0.131147540983607,7.61457863337845,6.84989874489019,9.46245394251868e-06,0.000139766120844185,0.000103168540894163,"GIMAP8/CD274/IDO1/P2RX7/ADA/JAK3/IL2RA/BAK1",8
"Rhinovirus","GO:0046637","regulation of alpha-beta T cell differentiation","9/327","80/18986",0.1125,6.53188073394495,6.56376418248099,9.46814684734359e-06,0.000139766120844185,0.000103168540894163,"ZC3H12A/CD80/SOCS1/CCL19/NFKBIZ/LILRB4/ADA/JAK3/IL27",9
"Rhinovirus","GO:0002366","leukocyte activation involved in immune response","18/327","315/18986",0.0571428571428571,3.31778069025775,5.49134617472534,9.75446954965531e-06,0.000143432453027811,0.000105874848685589,"IFI35/TNF/ZC3H12A/IFNB1/NMI/CD80/TREX1/CCL19/SLAMF1/IL6/NBN/NFKBIZ/CD40/LILRB1/MYD88/ADA/JAK3/IL27",18
"Rhinovirus","GO:0031640","killing of cells of another organism","11/327","124/18986",0.0887096774193548,5.15058695866627,6.13848903210325,1.00199008940038e-05,0.000146197704549963,0.000107916022634059,"GBP1/CCL8/GBP5/CXCL10/GBP2/CCL20/CCL19/CXCL11/CCL1/MYD88/GBP7",11
"Rhinovirus","GO:0141061","disruption of cell in another organism","11/327","124/18986",0.0887096774193548,5.15058695866627,6.13848903210325,1.00199008940038e-05,0.000146197704549963,0.000107916022634059,"GBP1/CCL8/GBP5/CXCL10/GBP2/CCL20/CCL19/CXCL11/CCL1/MYD88/GBP7",11
"Rhinovirus","GO:1900017","positive regulation of cytokine production involved in inflammatory response","6/327","30/18986",0.2,11.6122324159021,7.70067907970648,1.04444098733672e-05,0.000151805480428672,0.000112055409572563,"GBP5/TNF/IL6/MYD88/TLR3/NOD2",6
"Rhinovirus","GO:0032088","negative regulation of NF-kappaB transcription factor activity","9/327","81/18986",0.111111111111111,6.45124023105674,6.50855358437488,1.04924066110076e-05,0.000151918791505739,0.000112139050289051,"ACOD1/TRIM21/ZC3H12A/AIM2/NLRC5/TNFAIP3/PARP10/RBCK1/NFKBIA",9
"Rhinovirus","GO:0051924","regulation of calcium ion transport","16/327","258/18986",0.062015503875969,3.60069222198516,5.56785742897255,1.11198588803365e-05,0.000160389109575541,0.000118391426407762,"PML/CXCL10/LILRA5/CCR1/PTGS2/MCUB/CXCL11/P2RX7/STAC3/PDE4B/LILRB1/LILRB2/CCL4/CXCR4/CCL2/BAK1",16
"Rhinovirus","GO:0002263","cell activation involved in immune response","18/327","319/18986",0.0564263322884013,3.27617842454919,5.42749428644455,1.15777939515124e-05,0.00016635925225386,0.000122798294862949,"IFI35/TNF/ZC3H12A/IFNB1/NMI/CD80/TREX1/CCL19/SLAMF1/IL6/NBN/NFKBIZ/CD40/LILRB1/MYD88/ADA/JAK3/IL27",18
"Rhinovirus","GO:0030217","T cell differentiation","18/327","320/18986",0.05625,3.26594036697248,5.4116889863801,1.20789044017043e-05,0.000172902195962275,0.000127627977131246,"RSAD2/ZC3H12A/IRF1/IFNB1/FZD5/CD80/SOCS1/IL15/CCL19/IL6/NFKBIZ/LILRB4/CCR7/LILRB2/ADA/JAK3/IL27/IL2RA",18
"Rhinovirus","GO:0141060","disruption of anatomical structure in another organism","11/327","127/18986",0.0866141732283465,5.02891955019384,6.03067772048242,1.25897468565784e-05,0.000179534541022679,0.000132523651121878,"GBP1/CCL8/GBP5/CXCL10/GBP2/CCL20/CCL19/CXCL11/CCL1/MYD88/GBP7",11
"Rhinovirus","GO:1903901","negative regulation of viral life cycle","6/327","31/18986",0.193548387096774,11.2376442734537,7.55186090652134,1.27645449922982e-05,0.000181342915510883,0.000133858505063673,"BST2/IFITM1/TRIM5/TRIM25/LY6E/IFITM2",6
"Rhinovirus","GO:0034142","toll-like receptor 4 signaling pathway","8/327","64/18986",0.125,7.25764525993884,6.63823163121581,1.3599552087998e-05,0.000192482049964586,0.00014208087141019,"IFI35/ACOD1/OAS1/NMI/TNFAIP3/APPL2/MYD88/NFKBIA",8
"Rhinovirus","GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","5/327","19/18986",0.263157894736842,15.2792531788186,8.24362005341042,1.40153674490949e-05,0.000197627140261678,0.000145878726394743,"HSPA1B/HSPA1A/TNFAIP3/NOD2/NFKBIA",5
"Rhinovirus","GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","9/327","84/18986",0.107142857142857,6.22083879423329,6.34835262277738,1.41517061225157e-05,0.00019880779716352,0.00014675022979717,"ZC3H12A/CD80/SOCS1/CD274/CCL19/NFKBIZ/JAK3/IL27/IL2RA",9
"Rhinovirus","GO:0035710","CD4-positive, alpha-beta T cell activation","11/327","129/18986",0.0852713178294574,4.9509518052296,5.96067278225778,1.46051235440544e-05,0.000204417636566599,0.000150891139928827,"RSAD2/ZC3H12A/CD80/SOCS1/CD274/CCL19/IL6/NFKBIZ/JAK3/IL27/IL2RA",11
"Rhinovirus","GO:1901222","regulation of non-canonical NF-kappaB signal transduction","10/327","106/18986",0.0943396226415094,5.47746812070856,6.11954925599222,1.47814144612432e-05,0.000206121642985381,0.000152148954446668,"IFI35/EIF2AK2/TNF/ZC3H12A/NMI/TRIM56/CCL19/TLR3/NOD2/RBCK1",10
"Rhinovirus","GO:0031331","positive regulation of cellular catabolic process","15/327","235/18986",0.0638297872340425,3.70603162209643,5.52572892926096,1.48857197859288e-05,0.00020681299658465,0.000152659277990369,"DTX3L/TNF/TRIM5/TRIM22/TRIM21/ZC3H12A/IFNB1/TRIM6/KAT2B/MEFV/P2RX7/OPTN/SPTLC2/IRS2/NOD2",15
"Rhinovirus","GO:0019835","cytolysis","4/327","10/18986",0.4,23.2244648318043,9.30601976884969,1.67166273948416e-05,0.000231399761630426,0.000170808030061038,"GBP1/GBP5/GBP2/GBP7",4
"Rhinovirus","GO:0070534","protein K63-linked ubiquitination","8/327","66/18986",0.121212121212121,7.03771661569827,6.50457793703049,1.71285303681149e-05,0.000236236190733964,0.00017437804639072,"TRIM5/TRIM22/TRIM21/RNF213/TRIM56/NBN/PARP10/NOD2",8
"Rhinovirus","GO:1990266","neutrophil migration","10/327","108/18986",0.0925925925925926,5.37603352588062,6.03739404655721,1.74324261189065e-05,0.000239553230193991,0.000176826523311396,"CXCL10/FUT4/CCL19/CXCL11/MCOLN2/PDE4B/CCR7/MYD88/TNFAIP6/NOD2",10
"Rhinovirus","GO:0060340","positive regulation of type I interferon-mediated signaling pathway","5/327","20/18986",0.25,14.5152905198777,8.00548236215685,1.84243567687101e-05,0.00025135611635002,0.000185538838826076,"IRF7/NLRC5/TRIM6/TRIM56/IKBKE",5
"Rhinovirus","GO:2001185","regulation of CD8-positive, alpha-beta T cell activation","5/327","20/18986",0.25,14.5152905198777,8.00548236215685,1.84243567687101e-05,0.00025135611635002,0.000185538838826076,"IRF1/SOCS1/CD274/LILRB4/LILRB1",5
"Rhinovirus","GO:0140894","endolysosomal toll-like receptor signaling pathway","7/327","50/18986",0.14,8.1285626911315,6.68155961574639,2.23004936671205e-05,0.000303142322187225,0.000223764892911281,"RSAD2/OAS1/TNF/UNC93B1/TNFAIP3/MYD88/TLR3",7
"Rhinovirus","GO:0072567","chemokine (C-X-C motif) ligand 2 production","5/327","21/18986",0.238095238095238,13.8240862094073,7.78385339199309,2.38420250220914e-05,0.000320671625870006,0.000236704170848739,"OAS1/OAS3/TNF/MCOLN2/MYD88",5
"Rhinovirus","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","5/327","21/18986",0.238095238095238,13.8240862094073,7.78385339199309,2.38420250220914e-05,0.000320671625870006,0.000236704170848739,"OAS1/OAS3/TNF/MCOLN2/MYD88",5
"Rhinovirus","GO:0043903","regulation of biological process involved in symbiotic interaction","8/327","69/18986",0.115942028985507,6.73172893675486,6.31421043833079,2.38445956256871e-05,0.000320671625870006,0.000236704170848739,"IFITM1/TRIM5/TRIM25/TRIM22/TRIM21/TRIM6/LY6E/IFITM2",8
"Rhinovirus","GO:0045621","positive regulation of lymphocyte differentiation","11/327","137/18986",0.0802919708029197,4.66184513047166,5.69444095186199,2.57284552617494e-05,0.000344779547638834,0.000254499464141978,"IL15RA/CD80/SOCS1/IL15/CCL19/NFKBIZ/AXL/LILRB4/LILRB2/ADA/IL2RA",11
"Rhinovirus","GO:0045625","regulation of T-helper 1 cell differentiation","4/327","11/18986",0.363636363636364,21.1131498470948,8.83325024677467,2.59125386056209e-05,0.000344800997854372,0.000254515297646017,"CD80/CCL19/JAK3/IL27",4
"Rhinovirus","GO:1900246","positive regulation of RIG-I signaling pathway","4/327","11/18986",0.363636363636364,21.1131498470948,8.83325024677467,2.59125386056209e-05,0.000344800997854372,0.000254515297646017,"OASL/ZC3HAV1/DDX60/DHX58",4
"Rhinovirus","GO:0007260","tyrosine phosphorylation of STAT protein","6/327","35/18986",0.171428571428571,9.95334207077326,7.01840019669443,2.65546262985077e-05,0.000352105027305476,0.000259906776328884,"PARP9/PARP14/JAK2/SOCS1/IL15/JAK3",6
"Rhinovirus","GO:0002573","myeloid leukocyte differentiation","15/327","247/18986",0.0607287449392713,3.52598150280429,5.28981436614558,2.67023130374445e-05,0.000352825318071689,0.000260438459879382,"IRF7/TNF/IFI16/SOCS1/IL15/CCL19/CCR1/BATF2/LILRB4/CCR7/LILRB1/CASP10/MYD88/TNFAIP6/TLR3",15
"Rhinovirus","GO:0006816","calcium ion transport","21/327","445/18986",0.0471910112359551,2.7399649520668,4.91687223941642,3.25888786633398e-05,0.000429105827417286,0.000316745015433158,"CCL8/PML/CXCL10/PANX1/LILRA5/CCL19/CCR1/PTGS2/MCUB/CXCL11/P2RX7/STAC3/MCOLN2/PDE4B/CCR7/LILRB1/LILRB2/CCL4/CXCR4/CCL2/BAK1",21
